beta: 0.75 por mes, gamma: 1/9 por mes, mu: 1.167e-3 por mes
# columna 1: tiempo
# columna 2: personas sanas (S)
# columna 3: personas Infectadas (I)
# columna 4: personas Recuperadas (R)
0.000	1.446093000e+06	1.885000000e+03	1.423000000e+03
0.017	1.470202289e+06	1.908822035e+03	1.422972317e+03
0.033	1.494310406e+06	1.933347145e+03	1.422944635e+03
0.050	1.518417330e+06	1.958594609e+03	1.422916954e+03
0.067	1.542523043e+06	1.984584412e+03	1.422889273e+03
0.083	1.566627524e+06	2.011337263e+03	1.422861592e+03
0.100	1.590730750e+06	2.038874629e+03	1.422833912e+03
0.117	1.614832700e+06	2.067218758e+03	1.422806233e+03
0.133	1.638933351e+06	2.096392713e+03	1.422778554e+03
0.150	1.663032679e+06	2.126420396e+03	1.422750876e+03
0.167	1.687130659e+06	2.157326588e+03	1.422723198e+03
0.183	1.711227266e+06	2.189136974e+03	1.422695521e+03
0.200	1.735322472e+06	2.221878184e+03	1.422667844e+03
0.217	1.759416250e+06	2.255577827e+03	1.422640168e+03
0.233	1.783508572e+06	2.290264525e+03	1.422612492e+03
0.250	1.807599408e+06	2.325967960e+03	1.422584817e+03
0.267	1.831688727e+06	2.362718906e+03	1.422557143e+03
0.283	1.855776497e+06	2.400549279e+03	1.422529469e+03
0.300	1.879862685e+06	2.439492178e+03	1.422501795e+03
0.317	1.903947257e+06	2.479581932e+03	1.422474122e+03
0.333	1.928030178e+06	2.520854150e+03	1.422446450e+03
0.350	1.952111410e+06	2.563345769e+03	1.422418778e+03
0.367	1.976190914e+06	2.607095110e+03	1.422391107e+03
0.383	2.000268652e+06	2.652141930e+03	1.422363436e+03
0.400	2.024344582e+06	2.698527483e+03	1.422335766e+03
0.417	2.048418661e+06	2.746294577e+03	1.422308096e+03
0.433	2.072490845e+06	2.795487639e+03	1.422280427e+03
0.450	2.096561087e+06	2.846152780e+03	1.422252758e+03
0.467	2.120629341e+06	2.898337864e+03	1.422225090e+03
0.483	2.144695555e+06	2.952092579e+03	1.422197423e+03
0.500	2.168759679e+06	3.007468511e+03	1.422169756e+03
0.517	2.192821659e+06	3.064519223e+03	1.422142089e+03
0.533	2.216881440e+06	3.123300339e+03	1.422114423e+03
0.550	2.240938963e+06	3.183869625e+03	1.422086758e+03
0.567	2.264994168e+06	3.246287079e+03	1.422059093e+03
0.583	2.289046994e+06	3.310615029e+03	1.422031429e+03
0.600	2.313097376e+06	3.376918225e+03	1.422003765e+03
0.617	2.337145246e+06	3.445263941e+03	1.421976102e+03
0.633	2.361190534e+06	3.515722085e+03	1.421948439e+03
0.650	2.385233169e+06	3.588365309e+03	1.421920777e+03
0.667	2.409273073e+06	3.663269124e+03	1.421893115e+03
0.683	2.433310169e+06	3.740512022e+03	1.421865454e+03
0.700	2.457344376e+06	3.820175607e+03	1.421837794e+03
0.717	2.481375607e+06	3.902344722e+03	1.421810134e+03
0.733	2.505403776e+06	3.987107594e+03	1.421782474e+03
0.750	2.529428791e+06	4.074555977e+03	1.421754815e+03
0.767	2.553450555e+06	4.164785306e+03	1.421727157e+03
0.783	2.577468970e+06	4.257894857e+03	1.421699499e+03
0.800	2.601483932e+06	4.353987913e+03	1.421671842e+03
0.817	2.625495335e+06	4.453171938e+03	1.421644185e+03
0.833	2.649503065e+06	4.555558766e+03	1.421616529e+03
0.850	2.673507008e+06	4.661264786e+03	1.421588873e+03
0.867	2.697507041e+06	4.770411149e+03	1.421561218e+03
0.884	2.721503038e+06	4.883123974e+03	1.421533563e+03
0.900	2.745494869e+06	4.999534572e+03	1.421505909e+03
0.917	2.769482396e+06	5.119779675e+03	1.421478256e+03
0.934	2.793465478e+06	5.244001678e+03	1.421450603e+03
0.950	2.817443965e+06	5.372348897e+03	1.421422950e+03
0.967	2.841417703e+06	5.504975828e+03	1.421395298e+03
0.984	2.865386532e+06	5.642043432e+03	1.421367647e+03
1.000	2.889350284e+06	5.783719423e+03	1.421339996e+03
1.017	2.913308783e+06	5.930178578e+03	1.421312346e+03
1.034	2.937261848e+06	6.081603054e+03	1.421284696e+03
1.050	2.961209289e+06	6.238182727e+03	1.421257047e+03
1.067	2.985150908e+06	6.400115547e+03	1.421229398e+03
1.084	3.009086499e+06	6.567607904e+03	1.421201750e+03
1.100	3.033015846e+06	6.740875021e+03	1.421174102e+03
1.117	3.056938725e+06	6.920141359e+03	1.421146455e+03
1.134	3.080854901e+06	7.105641045e+03	1.421118808e+03
1.150	3.104764131e+06	7.297618320e+03	1.421091162e+03
1.167	3.128666160e+06	7.496328014e+03	1.421063517e+03
1.184	3.152560722e+06	7.702036034e+03	1.421035872e+03
1.200	3.176447539e+06	7.915019889e+03	1.421008227e+03
1.217	3.200326322e+06	8.135569229e+03	1.420980584e+03
1.234	3.224196768e+06	8.363986420e+03	1.420952940e+03
1.250	3.248058561e+06	8.600587147e+03	1.420925297e+03
1.267	3.271911373e+06	8.845701036e+03	1.420897655e+03
1.284	3.295754858e+06	9.099672326e+03	1.420870014e+03
1.300	3.319588658e+06	9.362860559e+03	1.420842372e+03
1.317	3.343412397e+06	9.635641309e+03	1.420814732e+03
1.334	3.367225681e+06	9.918406955e+03	1.420787092e+03
1.350	3.391028103e+06	1.021156748e+04	1.420759452e+03
1.367	3.414819232e+06	1.051555133e+04	1.420731813e+03
1.384	3.438598621e+06	1.083080630e+04	1.420704175e+03
1.400	3.462365802e+06	1.115780044e+04	1.420676537e+03
1.417	3.486120286e+06	1.149702310e+04	1.420648899e+03
1.434	3.509861562e+06	1.184898591e+04	1.420621262e+03
