0.000	1.570796327e+00	1.570796327e+00	0.000000000e+00	0.000000000e+00
0.010	1.568696332e+00	1.571496314e+00	-2.204999556e-02	-7.349991833e-03
0.020	1.562396571e+00	1.573595746e+00	-4.409992157e-02	-1.469975071e-02
0.030	1.551899051e+00	1.577089859e+00	-6.614942742e-02	-2.204811507e-02
0.040	1.537211549e+00	1.581960173e+00	-8.819757338e-02	-2.939209717e-02
0.050	1.518354136e+00	1.588158981e+00	-1.102424050e-01	-3.672612020e-02
0.060	1.495367804e+00	1.595588682e+00	-1.322802040e-01	-4.404162742e-02
0.070	1.468324303e+00	1.604077966e+00	-1.543040782e-01	-5.132745662e-02
0.080	1.437335524e+00	1.613358428e+00	-1.763014867e-01	-5.857146288e-02
0.090	1.402560203e+00	1.623046560e+00	-1.982504177e-01	-6.576376651e-02
0.100	1.364205659e+00	1.632636377e+00	-2.201143345e-01	-7.290159827e-02
0.110	1.322523212e+00	1.641506185e+00	-2.418366086e-01	-7.999506787e-02
0.120	1.277797825e+00	1.648939296e+00	-2.633357036e-01	-8.707257861e-02
0.130	1.230334514e+00	1.654154310e+00	-2.845024838e-01	-9.418442992e-02
0.140	1.180445256e+00	1.656338124e+00	-3.052005730e-01	-1.014035512e-01
0.150	1.128439748e+00	1.654675176e+00	-3.252699281e-01	-1.088230678e-01
0.160	1.074621946e+00	1.648369171e+00	-3.445331444e-01	-1.165510750e-01
0.170	1.019292545e+00	1.636656693e+00	-3.628037629e-01	-1.247032952e-01
0.180	9.627563647e-01	1.618814385e+00	-3.798959653e-01	-1.333942185e-01
0.190	9.053330140e-01	1.594162137e+00	-3.956353190e-01	-1.427270861e-01
0.200	8.473691863e-01	1.562064372e+00	-4.098704478e-01	-1.527828714e-01
0.210	7.892511054e-01	1.521930560e+00	-4.224855504e-01	-1.636083615e-01
0.220	7.314158395e-01	1.473215040e+00	-4.334135469e-01	-1.752035744e-01
0.230	6.743603008e-01	1.415415336e+00	-4.426493173e-01	-1.875090363e-01
0.240	6.186467154e-01	1.348067728e+00	-4.502620529e-01	-2.003938694e-01
0.250	5.649031029e-01	1.270739094e+00	-4.564051657e-01	-2.136461924e-01
0.260	5.138165488e-01	1.183015673e+00	-4.613214599e-01	-2.269680580e-01
0.270	4.661150934e-01	1.084493762e+00	-4.653401862e-01	-2.399782165e-01
0.280	4.225293408e-01	9.747872704e-01	-4.688609010e-01	-2.522276715e-01
0.290	3.837147335e-01	8.535878880e-01	-4.723167170e-01	-2.632353110e-01
0.300	3.500976718e-01	7.208507599e-01	-4.761087580e-01	-2.725516516e-01
0.310	3.215937193e-01	5.772161737e-01	-4.805145244e-01	-2.798479214e-01
0.320	2.971947329e-01	4.247069756e-01	-4.856162498e-01	-2.849847208e-01
0.330	2.746550028e-01	2.673280055e-01	-4.913538784e-01	-2.879569330e-01
0.340	2.507956634e-01	1.106406533e-01	-4.977186049e-01	-2.887012287e-01
0.350	2.225485514e-01	-3.994414400e-02	-5.048335911e-01	-2.870205323e-01
0.360	1.878906824e-01	-1.806737179e-01	-5.127655623e-01	-2.827790884e-01
0.370	1.459870472e-01	-3.095908798e-01	-5.213268371e-01	-2.761049196e-01
0.380	9.683104222e-02	-4.258667092e-01	-5.300643460e-01	-2.674023661e-01
0.390	4.086001245e-02	-5.291772256e-01	-5.383617453e-01	-2.572500269e-01
0.400	-2.129506785e-02	-6.193684101e-01	-5.455503957e-01	-2.462896410e-01
0.410	-8.894903860e-02	-6.963331083e-01	-5.509935949e-01	-2.351420649e-01
